t_ns_pi,enc_t_ms_pico,BL,FL,FR,BR,ax,ay,az,gx,gy,gz
5297826152092,91442,8243,9679,12337,10394,0.2346317626953125,-0.05027823486328125,11.659762084960937,0.0006335145491017553,0.0017553215950401081,0.0002644640126113554
5297846800729,91462,8243,9679,12337,10394,0.20829554443359374,-0.00718260498046875,11.674127294921874,0.0007667457897120068,-0.0019751531420470064,-0.00266662328081424
5297866288378,91482,8243,9679,12337,10394,0.18914193115234373,-0.0143652099609375,11.731588134765625,0.0003670520678812454,0.002954402760532396,-0.0031995482432552597
5297885983024,91502,8243,9679,12337,10394,0.18914193115234373,-0.0047884033203125,11.702857714843748,0.0010332082709325167,-0.00530593415730336,0.001863238899934394
5297906359183,91522,8243,9679,12337,10394,0.2346317626953125,-0.009576806640625,11.669338891601562,0.0012996707521530232,-0.002508078104488023,-0.0013343108747116972
5297926299345,91542,8243,9679,12337,10394,0.16998831787109375,0.028730419921875,11.674127294921874,-0.0006987978570007908,0.0009559341513785818,-0.0037324732056962726
5297946538042,91562,8243,9679,12337,10394,0.17477672119140625,0.040701428222656245,11.631031665039062,0.001832595714594043,-0.0022416156232675163,-0.0005349234310501744
5297967087347,91582,8243,9679,12337,10394,0.17238251953125,-0.009576806640625,11.650185278320311,-0.0014981853006623136,-0.004506546713641837,-0.001600773355932207
5297986857289,91602,8243,9679,12337,10394,0.21308394775390624,0.011971008300781249,11.671733093261718,0.0023655206770350594,-0.002907771826318784,-0.003066317002645008
5298006641861,91622,8243,9679,12337,10394,0.19871873779296872,0.016759411621093748,11.748347546386718,0.001566133233373533,0.0008227029107683304,-0.0025333920402039883
5298027910270,91642,8243,9679,12337,10394,0.24660277099609373,-0.040701428222656245,11.688492504882811,0.0022322894364248044,0.00015654670771705903,0.001863238899934394
5298046803665,91662,8243,9679,12337,10394,0.21787235107421873,-0.011971008300781249,11.722011328125,0.003298139361306837,0.0012223966325990918,-0.0014675421153219556
5298066465386,91682,8243,9679,12337,10394,0.18435352783203124,-0.033518823242187495,11.69567510986328,-0.0002991041351700259,-0.001841921901436755,-0.003066317002645008
5298086351975,91702,8243,9679,12337,10394,0.19871873779296872,-0.023942016601562498,11.662156286621093,-0.0005655666163905324,0.0014888591138195982,0.0009306202156626198
5298107384202,91722,8243,9679,12337,10394,0.2154781494140625,0.031124621582031248,11.540052001953125,0.001566133233373533,-0.0022416156232675163,-0.0031995482432552597
5298126722796,91742,8243,9679,12337,10394,0.19393033447265623,-0.040701428222656245,11.621454858398437,0.00023382082727099393,-0.002907771826318784,-0.0027998545214244913
5298147191083,91762,8243,9679,12337,10394,0.26336218261718747,-0.0430956298828125,11.628637463378906,-0.00229757274432384,-0.0022416156232675163,0.0006641577344421098
5298167396207,91782,8243,9679,12337,10394,0.1292868896484375,-0.0383072265625,11.678915698242188,-0.0005655666163905324,-0.005838859119744379,0.0019964701405446594
5298186421489,91802,8243,9679,12337,10394,0.21308394775390624,0.03591302490234375,11.690886706542969,0.0007667457897120068,0.000289777948327314,0.0013303139374933812
5298206370170,91822,8243,9679,12337,10394,0.19632453613281248,0.01915361328125,11.6070896484375,0.002498751917645311,0.0012223966325990918,-0.0009346171528809358
5298226655515,91842,8243,9679,12337,10394,0.14604630126953125,0.0143652099609375,11.587936035156249,-0.00016587289455977094,-0.0026413093450982812,-0.00213369831837322
5298246085072,91862,8243,9679,12337,10394,0.26336218261718747,-0.033518823242187495,11.659762084960937,0.0026319831582555693,0.0012223966325990918,-0.00040169219043991594
5298266346694,91882,8243,9679,12337,10394,0.20350714111328125,-0.02633621826171875,11.650185278320311,-0.0010984915788315522,-0.0027745405857085327,-0.0010678483934911942
5298286173580,91902,8243,9679,12337,10394,0.21787235107421873,0.0143652099609375,11.592724438476562,-0.00043233537578028086,-0.0005096094953342088,-0.003066317002645008
5298306652312,91922,8243,9679,12337,10394,0.22026655273437498,-0.03591302490234375,11.726799731445311,-0.00229757274432384,-0.0006428407359444673,-0.0029330857620347497
5298326592289,91942,8243,9679,12337,10394,0.18435352783203124,0.01915361328125,11.738770739746093,0.0014329019927632816,-0.0005096094953342088,-0.0013343108747116972
5298346661173,91962,8243,9679,12337,10394,0.1867477294921875,-0.02154781494140625,11.597512841796874,-0.00016587289455977094,-0.003573928029370059,-0.003332779483865511
5298366695650,91982,8243,9679,12337,10394,0.15322890625,-0.016759411621093748,11.769895361328125,0.0016993644739837846,-0.0009093032171649737,-0.0025333920402039883
5298386934402,92002,8243,9679,12337,10394,0.2442085693359375,-0.0383072265625,11.6837041015625,-0.00043233537578028086,-0.001308996938995735,0.001596776418713891
5298406801066,92022,8243,9679,12337,10394,0.20350714111328125,0.03591302490234375,11.578359228515625,0.003831064323747857,-0.0022416156232675163,-0.0008013859122706843
5298427304057,92042,8243,9679,12337,10394,0.239420166015625,0.033518823242187495,11.674127294921874,0.0026319831582555693,-0.0022416156232675163,0.004661094952749738
5298446777372,92062,8243,9679,12337,10394,0.21068974609375,-0.01915361328125,11.669338891601562,0.003164908120696582,-0.0030410030669290426,-0.00026846094982966445
5298466575851,92082,8243,9679,12337,10394,0.19632453613281248,-0.0047884033203125,11.63821427001953,0.0016993644739837846,-0.0027745405857085327,-0.003332779483865511
5298485960278,92102,8243,9679,12337,10394,0.22505495605468748,-0.05027823486328125,11.67652149658203,0.004896914248629886,-0.00037637825472395733,-0.004531860649357795
5298506156661,92122,8243,9679,12337,10394,0.22026655273437498,0.0143652099609375,11.645396875,0.0022322894364248044,-0.001841921901436755,0.0011970826968831297
5298526563726,92142,8243,9679,12337,10394,0.2346317626953125,-0.009576806640625,11.626243261718749,0.003164908120696582,-0.002508078104488023,-0.0027998545214244913
5298546117263,92162,8243,9679,12337,10394,0.22744915771484372,-0.031124621582031248,11.6837041015625,-0.0002991041351700259,-0.0017086906608264965,-0.004265398168137292
5298566544755,92182,8243,9679,12337,10394,0.201112939453125,-0.0383072265625,11.67652149658203,0.0001005895866607355,-0.004106852991811072,-0.002400160799593737
5298590067069,92202,8243,9679,12337,10394,0.15562310791015624,-0.01915361328125,11.67652149658203,0.0026319831582555693,0.0008227029107683304,-0.00026846094982966445
5298605956844,92222,8243,9679,12337,10394,0.2154781494140625,0.0,11.671733093261718,-0.0013649540600520586,-0.003174234307539294,-0.0020004670777629685
5298627355270,92242,8243,9679,12337,10394,0.22744915771484372,-0.009576806640625,11.77228956298828,-0.0012317228194418037,-0.0006428407359444673,-0.0009346171528809358
5298647247026,92262,8243,9679,12337,10394,0.23223756103515625,-0.055066638183593745,11.587936035156249,-0.0005655666163905324,-0.001308996938995735,0.0002644640126113554
5298667402761,92282,8243,9679,12337,10394,0.21308394775390624,-0.01915361328125,11.573570825195311,0.0005002833084914969,-0.0023748468638777713,0.0006641577344421098
5298687277110,92302,8243,9679,12337,10394,0.2346317626953125,0.01915361328125,11.729193933105469,0.0014329019927632816,-0.0011757656983854836,-0.0037324732056962726
5298706257763,92322,8243,9679,12337,10394,0.16041151123046873,-0.02154781494140625,11.623849060058593,-0.00016587289455977094,0.0017553215950401081,-0.00040169219043991594
5298726387516,92342,8243,9679,12337,10394,0.201112939453125,-0.031124621582031248,11.688492504882811,0.00662892037656319,-0.003440696788759804,-0.0010678483934911942
5298746111811,92362,8243,9679,12337,10394,0.229843359375,0.06703764648437499,11.635820068359374,0.0022322894364248044,-0.0010425344577752287,-0.0006681546716604328
5298766214805,92382,8243,9679,12337,10394,0.2059013427734375,0.00718260498046875,11.686098303222655,0.0008999770303222618,0.0005562404295478204,-0.0027998545214244913
5298786351744,92402,8243,9679,12337,10394,0.19632453613281248,0.0383072265625,11.604695446777344,0.0005002833084914969,-0.006105321600964886,0.0007973889750523683
5298806050872,92422,8243,9679,12337,10394,0.20350714111328125,0.016759411621093748,11.592724438476562,0.0014329019927632816,-0.00024314701411370584,0.00039769525322160687
5298826422494,92442,8243,9679,12337,10394,0.20829554443359374,-0.02633621826171875,11.671733093261718,-0.0002991041351700259,-0.003307465548149549,0.0017300076593241426
5298846579654,92462,8243,9679,12337,10394,0.16280571289062498,0.00718260498046875,11.674127294921874,0.0014329019927632816,-0.001308996938995735,-0.0012010796341014457
5298867126719,92482,8243,9679,12337,10394,0.23702596435546874,-0.0143652099609375,11.631031665039062,0.0003670520678812454,-0.00024314701411370584,-0.0027998545214244913
5298887262861,92502,8243,9679,12337,10394,0.22266075439453123,0.00718260498046875,11.662156286621093,0.005163376729850396,0.0010891653919888403,-0.0025333920402039883
5298907198635,92522,8243,9679,12337,10394,0.20350714111328125,-0.00718260498046875,11.724405529785155,-0.00043233537578028086,-0.003440696788759804,-0.0013343108747116972
5298927287315,92542,8243,9679,12337,10394,0.20829554443359374,-0.04548983154296875,11.590330236816406,0.005296607970460648,-0.0006428407359444673,-0.0031995482432552597
5298947213459,92562,8243,9679,12337,10394,0.23702596435546874,-0.028730419921875,11.575965026855467,0.0001005895866607355,-0.00424008423242133,0.004527863712139486
5298966614016,92582,8243,9679,12337,10394,0.239420166015625,-0.06464344482421874,11.59990704345703,0.002498751917645311,-0.0023748468638777713,-0.0039989356869167825
5298986600049,92602,8243,9679,12337,10394,0.20350714111328125,-0.0143652099609375,11.65736788330078,0.0008999770303222618,0.0005562404295478204,-0.0034660107244757696
5299006107419,92622,8243,9679,12337,10394,0.1867477294921875,-0.0143652099609375,11.652579479980469,0.0012996707521530232,0.0009559341513785818,0.00039769525322160687
5299026093026,92642,8243,9679,12337,10394,0.21068974609375,-0.07900865478515624,11.575965026855467,0.0006335145491017553,-0.0010425344577752287,-0.001867235837152717
5299046024893,92662,8243,9679,12337,10394,0.22026655273437498,-0.0143652099609375,11.705251916503906,0.0007667457897120068,2.3315467106804072e-05,0.0025293951029856723
5299066132424,92682,8243,9679,12337,10394,0.18914193115234373,-0.05746083984375,11.604695446777344,-0.0013649540600520586,-0.00010991577350344742,0.001863238899934394
5299086448435,92702,8243,9679,12337,10394,0.2059013427734375,-0.03591302490234375,11.616666455078125,0.0003670520678812454,-0.0023748468638777713,-0.00213369831837322
5299106594559,92722,8243,9679,12337,10394,0.19393033447265623,-0.047884033203124995,11.587936035156249,0.0006335145491017553,-0.00024314701411370584,0.0010638514562728782
5299126942829,92742,8243,9679,12337,10394,0.181959326171875,-0.05027823486328125,11.664550488281249,0.005163376729850396,-0.0009093032171649737,-0.0006681546716604328
5299146705993,92762,8243,9679,12337,10394,0.15083470458984374,-0.031124621582031248,11.669338891601562,0.0019658269552042945,-0.0030410030669290426,0.00013123277200109001
5299167078300,92782,8243,9679,12337,10394,0.181959326171875,0.0526724365234375,11.621454858398437,0.0012996707521530232,-0.003440696788759804,-0.0009346171528809358
5299186768558,92802,8243,9679,12337,10394,0.1867477294921875,-0.05746083984375,11.698069311523437,0.00023382082727099393,-0.003440696788759804,0.0005309264938318584
5299206742591,92822,8243,9679,12337,10394,0.1197100830078125,-0.031124621582031248,11.690886706542969,-0.0009652603382212938,-0.001841921901436755,-0.0037324732056962726
5299226559070,92842,8243,9679,12337,10394,0.24660277099609373,-0.011971008300781249,11.647791076660155,-0.00016587289455977094,-0.0005096094953342088,-0.0020004670777629685
5299247210800,92862,8243,9679,12337,10394,0.16519991455078123,-0.009576806640625,11.604695446777344,0.0023655206770350594,-0.0021083843826572614,-0.0017340045965424655
5299267078223,92882,8243,9679,12337,10394,0.2657563842773437,0.0143652099609375,11.65736788330078,0.005296607970460648,0.0008227029107683304,-0.002400160799593737
5299286548760,92902,8243,9679,12337,10394,0.239420166015625,-0.031124621582031248,11.669338891601562,-0.0026972664661546013,-0.002508078104488023,-0.0014675421153219556
5299307090158,92922,8243,9679,12337,10394,0.16519991455078123,0.0143652099609375,11.566388220214844,0.0010332082709325167,0.0006894716701580789,0.0017300076593241426
