timestamp,x_px,y_px,heading_deg
10.337,1011.5,27.2,84.7
10.370,1012.0,31.5,85.4
10.404,1011.5,36.5,85.4
10.437,1012.0,40.5,85.4
10.471,1012.0,44.5,85.4
10.504,1013.0,49.5,85.4
10.538,1013.0,53.5,85.4
10.571,1013.8,58.5,83.9
10.605,1013.5,63.5,84.0
10.672,1014.2,73.5,85.4
10.706,1014.8,78.5,85.4
10.739,1015.2,83.2,84.7
10.773,1015.0,87.8,86.1
10.806,1015.0,92.2,84.6
10.840,1015.2,96.8,86.2
10.874,1015.2,101.0,85.4
10.907,1015.2,106.0,85.4
10.941,1015.5,110.8,86.1
10.974,1015.8,115.8,86.1
11.008,1015.8,120.5,86.9
11.041,1015.8,125.5,86.9
11.075,1016.2,130.2,86.2
11.108,1016.5,134.2,86.1
11.142,1016.0,140.0,85.4
11.176,1016.0,144.5,85.5
11.209,1016.5,148.8,86.1
11.243,1016.5,153.5,86.9
11.276,1016.5,158.2,86.1
11.310,1016.5,163.2,86.1
11.343,1016.8,168.5,86.9
11.377,1017.2,173.2,87.6
11.410,1017.2,178.2,87.6
11.444,1016.8,182.8,86.2
11.478,1017.0,187.2,87.7
11.511,1016.5,191.8,86.1
11.545,1017.2,195.8,87.7
11.578,1018.0,200.8,87.7
11.612,1018.2,205.8,87.7
11.645,1018.5,210.2,86.1
11.679,1018.0,215.5,86.9
11.713,1018.2,220.5,86.9
11.746,1018.2,225.5,86.9
11.780,1018.2,230.0,86.9
11.813,1018.8,234.2,86.2
11.847,1019.0,238.8,87.7
11.880,1018.8,243.8,86.2
11.914,1019.0,247.8,87.7
11.947,1018.5,253.2,87.6
11.981,1018.8,258.8,87.6
12.015,1018.5,263.0,90.0
12.048,1018.8,268.0,88.4
12.082,1018.5,272.5,90.0
12.149,1018.8,281.5,88.4
12.182,1019.5,286.0,86.9
12.216,1020.0,290.5,88.5
12.249,1020.2,296.0,86.9
12.283,1020.0,300.5,88.5
12.317,1020.0,304.8,87.7
12.350,1020.8,309.5,88.4
12.384,1021.0,313.5,88.5
12.417,1021.5,319.0,86.9
12.451,1020.8,324.0,88.4
12.518,1020.2,333.5,88.4
12.552,1020.5,338.8,89.2
12.585,1020.8,342.8,89.2
12.619,1021.0,347.2,89.2
12.652,1021.0,351.0,90.0
12.686,1020.5,355.2,-269.2
